Position,Const,Created,Modified,Description,Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors
11,tt4855114,2018-01-22,2018-01-23,"Letty Raines ( Michelle Dockery) is a thief and con artist whose life is always one wrong turn on one  bad decision after an other. Fresh out of prison, she?s attempting to stay ?
Based on the Letty Dobesh series of books by Blake Crouch, the show follows Letty Raines (Dockery), a woman who is out of prison for good behavior. And is she going to stay out of trouble. She has a son who is staying at her mom. She is certain that she can be a good person by not using drugs and drinking too much not to mention stealing. After being fired from her job for stealing which she did not,  so she gets into stealing in hotel in rooms of the guest. Well that is how she meets this hit man Xavier. Some how she is drawn to him but can?t seen to go on her own. And the adventure begins.
Terrific series here that works well with a great cast. Letty here tries to be good but can?t help herself because old habit dies hard. Here comes this hit man and she kind of know that they need each other. Later in the series it is reveal how Xavier became a hit man and why he is  out of touch with his family for 20 years. The pilot sets up the series but still leaving you intrigued enough to keep you coming back for more. Letty is smart and quick on her feet, but also vulnerable. She is strong and find ways to succeed plus she want to in order to see her son again. Xavier is the same way but has anger issues and wants to get reconciled with his family especially his father. The series is character driven  full of twists and turns and Dockery and Botto bring a depth to the series that makes it not just fun, but interesting to watch.",Good Behavior,https://www.imdb.com/title/tt4855114/,tvSeries,8.2,60,2016,"Crime, Drama, Mystery, Thriller",8349,2016-11-15,
12,tt4117294,2018-01-22,2018-01-23,"Niklas (9-year-old Viktor Lykke Clausen) wakes up every night to draw the ever more precise contours of a recurring dream: he sees his mother stretched out on the road, overthrown by a driver. An accident that happened  two years ago. Since then, the little boy is no longer talking and Thomas (Martin Buch), his father, has sunk into alcohol. Dion (Esben Dalgaard Andersen), a friend of Thomas, gets out of  prison, but is expected by the Mafia aka  ?P?tite Souris? (Nicolas Bro) to whom he owes money ?
The story evolves around two friends struggling to get their dream restaurant off the ground. They need money and Dion owes money to the Mafia Don (Petite souris). The thing is that Thomas is mounting his wife and can?t move on plus he is left to raise his son. He was the top sommelier who is dyslexic. Dion owes money to the mob plus got pregnant the female prison guard. It seems to me that trouble finds him every where. The actors are outstanding plus the chemistry in near perfect. It is hilarious at times plus there are detours left and right and a few surprises along the way. There the series feels like a modern western kind of cool. The French however copied it and named it Chef. Yes it is good but the second season of Chef is missing something. Anyway Bankerot means Bankrupt in English.",Bankerot,https://www.imdb.com/title/tt4117294/,tvSeries,7.5,,2014,"Comedy, Drama",258,2014-10-16,
13,tt4181172,2018-01-22,2018-01-23,"Bob Lee Swagger, a highly-decorated veteran who is coaxed back into action to prevent a plot to kill the President. The series is done as a thriller conspiracy theory.
Now days they are doing series off the film. Ok fine but this time done a little differently I think. You know it is going to be predictable well like  the instructor (Character in the series) tells Swagger ?what they ask you to help them to figure out where the shooter is going to shoot the president and you didn?t see that one coming? ? exactly I saw that one coming as I watch the series. You damn well know that you have a sniper who is the best at his job, he is secluded for good reason and a man arrives at his home and said that they need for him to figure out if there were a shooter who is going to kill the president where who he take the shot. The thing is you know what is going to happen now you have a series kind of like the Fugitive. Swagger is now framed for the murder of a president and he is on the run.
Yes there are some shady characters in it and you do not who to trust. It is a fine series here but I wish they would make them less predictable I know not easy to do. The writing is fine and the actors has chemistry, and formidable. The series move along at the pace you want it to move no doubt and you are going to be addicted it is on Netflix In Europe. It is entertaining as hell.",Shooter,https://www.imdb.com/title/tt4181172/,tvSeries,7.6,60,2016,"Action, Drama",25516,2016-11-15,
14,tt5071412,2018-01-22,2018-01-23,"Ozark, the new neo-noir series that Jason Bateman has directed a couple of episodes on Netflix is kicking some ass here.
Marty Byrde (Jason Bateman) who?s best friends put him and his family in a bit aof a pickle has to relocate in Ozark Missouri. You see Marty  launders money for the drug dealer named Del (Esai Morales) great choice for a bad guy here. It seems that Marty best friend here has taken over a certain period of time 8 Million dollars which pissed off Del. In order to save his own ass Marty made him a deal to relocate to Ozark and to continue to launder Del?s money. So far so good. But once in Ozark Marty is going to walk on someone?s feet. 
Marty here has this sex less marriage and has two kids. He has an investment firm which is laundering the money of their drug lord. Marty is awesome at his job. Yes the series at first tries to settle but by the third episode shit is hitting the fan big time and does it takes off. The series is constant does not follow any time line and it is brilliant, and so I love it. The all characters are a joy to watch even they have great chemistry. Voila a must see and have fun. You will be hooked as I was.",Ozark,https://www.imdb.com/title/tt5071412/,tvSeries,8.3,60,2017,"Crime, Drama, Thriller",101204,2017-07-21,
15,tt6692188,2018-01-22,2018-01-23,"Too funny I heard on the news that El Chapo escape from prison but way later he got caught again and escape from prison once again in Mexico where he was detain. And now Netflix has done a story about his life. The most dangerous drug dealer from the Cartel family and the one who can escape jail .
You see El Chapo want to rise in power as fast as possible and he is not a patient man. But unfortunately he gets shafted left and right at times. You see the Mexican government has to call the military to try to caught those drug dealers because sometimes the police is too corrupt and they need help. The first season is about El Chapo personal quest of becoming the most powerful drug dealer. You will find out that it is not easy to be a drug dealer seeing the life of El Chapo who sometimes gets in trouble and over his head. However there is a couple of people who want him behind bars. It is not going to be as good an Narcos but it will come close. You will be addicted to it, and wanting more. It is on Netflix streaming so have fun with it.",El Chapo,https://www.imdb.com/title/tt6692188/,tvSeries,7.9,43,2017,"Crime, Drama",9496,2017-04-23,
16,tt2049116,2018-01-22,2018-01-23,"Here is the second season of Gomorra the season that has a feel like the sopranos combine with the wire a little bit anyway. The second season start where the first left off. But this time Genny Savastano (Salvatore Esposito) who escape injuries and is somewhere in south America making sure that the production of the drugs is the best that is ever been. However his father is in jail. His mother tries to run things back home. In the means time Ciro di Marzio (Marco D?Amore) is obsessed with being the godfather of the clan and yes it is going to cost him. He will stop at nothing to get there. 
The second season step it up and it is who con who , who gets killed and  yes it is a cut throat business. violence is shocking only in its brutality, because some of it is not predictable and will hit you in the face. the  cool moments in season two take place between Gennaro and the withdrawn Don Pietro. it is going tot be old school vs new school ( the young one) who is going to be left standing? Gomorrah?s straightforward cinematic style allows its Neapolitan style that  grows and envelop the gangsters that move through it. do not miss this one. I watch all 12 episodes in 3 days.",Gomorra: La serie,https://www.imdb.com/title/tt2049116/,tvSeries,8.7,55,2014,"Crime, Drama, Thriller",21006,2014-05-06,
17,tt6303080,2018-01-22,2018-01-23,"Here is a cool series Franco German on the Arte channel. It is what you expect and more. It is shot in Spain, Morocco, and France. It is the drug trade of those 3 countries. The dealers are dealing and everything is fine when a drug boat does not come back for his delivery. The main drug dealer the boss is looking for their dude who possibly took the marijuana and left. did he really do that? If so where is he now?
There are a few surprises in  this one by far. It is the cut throat business who gets killed in order to move up and never trust no one. One dealer wants to go straight and grow strawberries, the others are in the lure of easy money. One woman is trying to rise in power but wants to get out, but get drag back in. She quickly going to become in power we will see the second season. There is blackmail and stealing the drugs from the boss. It is a tight group that can?t be trusted and they have look behind them constantly in order to survive and not get shot. The first season it too cool and things are moving along just fine. There if you get the chance to see that one have fun with it.",Cannabis,https://www.imdb.com/title/tt6303080/,tvSeries,7.0,312,2016,"Crime, Drama, Thriller",479,2016-09-15,
18,tt1064899,2018-01-22,2018-01-23,"Teresa flees Mexico after her drug-runner boyfriend is murdered. Some how she found herself in Texas doing drug deals left and right. On to become the queen of the biggest empire in Texas so she can  avenge her lover?s death.
After her lover ?s death Theresa tries to warn her friend that her husband is going to be killed for skimming drugs and money which he was doing with Theresa ?s lover. Theresa flees on to the US to find herself in this gas station which the owner phoned the ex-wife of her lover?s boss named Camila Vargas ( Veronica Falcòn) who is in Texas and has a drug empire. . Theresa gets pick up and in order to stay a live she runs drug for her. However Camila wants something from Theresa a book that her lover got her and Camila wants the book before her husband finds Theresa and the book.
Theresa know she has to keep the book in order to stay alive. She however wants to learn the business she has needs and wants to get a piece of the pie. Also she is trying to get her friend settle once she is in America. Theresa will stop at nothing to get to the top. Veronica Falcon as Camila Vargas is extremely talented as well as Alice Braga. Camilla here dresses well has the legs and the cleavage men are turned on by her she got them by the balls and turn on their brains so they can be on the same level as her, she is manipulative as hell. She seems to get what she wants. Here is a terrific series by Netflix that should not be over looked.",Queen of the South,https://www.imdb.com/title/tt1064899/,tvSeries,7.9,42,2016,"Action, Crime, Drama, Thriller",10422,2016-06-23,
19,tt1830379,2018-01-22,2018-01-23,"A thriving but underground drugs business is being run by Dushane (?Ashley Walters?) and his friend Sully (Kane Robinson) to become the richest men on the block.
Here is a cool totally great 2 parts series of 4 episodes. What I like about it is fast paced and has a bit a realism into it. It is about a local gang to want to get rich, they want to move up the latter as fast as they can and in the drug business you either die young if you are no careful enough, or if you careful enough you can retire rich. But the thing is here and the real world being a drug dealer has a short life to begin with.
A good kid (aka a top boy) who stays out of trouble but whose kindly actions result in criminality, a local gangster who hopes to become a top crime-lord but who must reconcile personal ethics, friendship and morality with a violent career path, a reformed criminal whose ethical behaviour gets him killed etc. Dushane here is this bottom drug dealer who manages his gang but wants to get into the big leagues. He want to get rich. Top boy here has his mother in the hospital for depression and he leaves now on his own. A friends who works at the hospital makes sure he is ok. Top boy here has been friend with this young lady who is trying to make money by growing cannabis so she can buy the flat. All those characters are going to cross each other. It is a cut throat business as we know it. A cool series that won?t disappoint you.",Top Boy,https://www.imdb.com/title/tt1830379/,tvSeries,8.2,60,2011,"Crime, Drama, Thriller",4027,2011-10-31,
20,tt4063800,2018-01-22,2018-01-23,"Four months have passed within the DGSE. Guillaume Debailly (alias Malotru), promoted to deputy director of the Bureau des Légendes, became a double agent on behalf of the CIA. Under cover of psychoanalysis sessions, he delivers to the doctor, his contact agent at the CIA, the information he gathered weekly. In exchange, Malotru expects the Americans to release the woman he loves, Nadia, imprisoned by the Syrians somewhere in the world. On the other hand, as Loiseau starts her delicate and dangerous underground mission in Iran, the DGSE is confronted with a new crisis: a jihad, now an officer of Daech, publicly harasses France in a bloodthirsty way.
The first season of the Bureau des Légendes had seduced us last year by its authenticity, its realism and the inclination of Eric Rochant to continue to dig further into the  universe of espionage and intelligence that ? He has known so well since his films Les Patriotes and Möbius. The first season however took place in Paris When Malotru comes back in Paris. Eric introduce us with the characters and such. The stories are purely fictional but of what is going on today. The second season however is that the agents on the field. Nadia who trained to be an agent is going to be in Iran to work in a company well that is her cover. The talented Sara Giraudeau assumes the role beautifully well here as wells the other actors Camille de Castelnau, Cécile Ducrocq, Hippolyte Girardot, Raphael Chevènement, Antonin Martin. The narrative intersect with intelligence, participating in the immersion in this new season which is proving exciting. These new episodes embrace, moreover, the actuality with a realism that will put a chill thought your back, taking as background the narratives evoking both the Syrian conflict and the Islamic radicalism. Mathieu Kassovitz and Jean-Pierre Darroussin recover their characters with greediness and engage in this duel of cat and the mouse game, the two actors seeming to savour their acting by bringing more nuances to  their characters that one might have thought immovable. Over all a terrific second season that went up a notch big time and yes there is a season 3. Season 3 will be the final chapter like a trilogies than Rochant I think is going to put new character for season 4 that will start a new chapter.",Le Bureau des Légendes,https://www.imdb.com/title/tt4063800/,tvSeries,8.7,52,2015,Drama,3768,2015-04-27,
21,tt5022622,2018-01-22,2018-01-23,"Inspector Valeria Ferro ( Miriam Leone) works at the PJ in Turin. stubborn , beautiful and tough, she is assisted by Andrea Russo (Matteo Martari), veteran Gerardo Mattei and new recruit Luca Rinaldi (Luca Terracciano) under the direction of Giorgio Lombardi ( Thomas Trabacchi). As her investigations progress, we also discover the difficult past of the investigator.
The series is also known under the name of Squadra Criminale. It is a terrific Italian series where Valeria Ferro is this tough detective who wants to solve the case as family as possible even check out all the possibilities before closing the case but every time she does an investigation her boss tells her to close it quickly or go easy on the victim they are not suspect. Her partner in crime issuing with the flow, he knows that he is the second wheel on this, he tend to follow her league but sometimes enough is enough and her boss has the final say. As the series goes along you discover that her mother is in jail. As the story goes along you discover more about her and the difficult relationship that she has with her mother. Overall it is a terrific series.",Non uccidere,https://www.imdb.com/title/tt5022622/,tvSeries,7.3,90,2015,"Crime, Drama, Mystery, Thriller",203,2015-09-11,
22,tt2750688,2018-01-22,2018-01-23,"Stieg Larsson?s Millennium Trilogy took the publishing industry by storm and everything since then  the Nordic noir is in business. Eyewitness is something slightly different, merging crime thriller and family drama.
When Philip (Axel Bøyum) and Henning (Odin Waage) witness a multiple-murder they stay quiet, fearing for their lives, normal reaction for teenagers. Philip has his foster-mother who is  the officer leading the investigation, Helen Sikkeland (Anneke von der Lippe). When the SRO are drafted in to deal with a drugs war involving The Sixers and a biker band called The Ferrymen, Sikkeland begins to see connections. However, without evidence and the gun that they can?t find she is at a halt and struggle to make progress.
Here is a terrific Nordic Noir as I love them with some terrific actors and story telling. Henning, an alpha male motocross champion, seems more terrified by his family to discover who he is really. In keeping quiet Philip to protects him  but messes up  his already complicated relationship with his foster family. Thank god for trying to avoid the clichés. The performances of the actors are strong with some great sensitive writing to go with it. The Norwegian / Swedish nine series has 6 episodes that are dark and tense.",Øyevitne,https://www.imdb.com/title/tt2750688/,tvMiniSeries,7.4,59,2014,"Crime, Drama",1308,2014-10-20,
23,tt6519410,2018-01-22,2018-01-23,"Villefranche is a small isolated town in the heart of a gigantic forest, a green labyrinth of thousands of hectares making any telecommunication hazardous. This place is not quite like the others has its unmapped areas, its crimes, its disappearances and other mysteries to be elucidated and a rate of homicide six times higher than the national average ? but apart from it all everything is fine. , The city can count on its sheriff, Major Laurène Weiss (Suliane Brahim), a girl of the strong country in mouth and strangely connected to Nature. As she continues to investigate, she sinks farther and farther into the forest she discover secrets even some from her own adduction 20 years ago.
Viilefranche is a fictional town somewhere in Belgium. It has 8 episodes and it is a French Belgian series. The filming took places in between the Voges and Belgium. So you can feel the fog, the nature and the thousand of acres of forest, it is a perfect setting for this kind of series. It is dark, intriguing and mysterious and when you watch it the story will have some twist and turns that you won?t expect. Well casted and written which I can?t wait for season 2 to come out. I just finished watching the last episodes this week and what great ending which you are going to want more. Do not miss this one.",Zone Blanche,https://www.imdb.com/title/tt6519410/,tvSeries,7.6,52,2017,"Crime, Drama, Mystery, Thriller",1132,2017-02-03,
24,tt2699128,2018-01-22,2018-01-23,"This spooky series where a 140 millions people just vanished off the earth like babies, lawyers, drunks, thieves, surgeons, murderers, grandmothers, bartenders, celebrities and even the pope. Where did they go?
Three years after 2 percent of the world?s population  disappeared, a lots of people believe it was an act of God, but nobody has any answers. Some churches close, and new cults form, including one called Guilty Remnant, whose followers wear white, take a vow of silence and chain smoke. Too funny there why I am not surprise and what is up the chain-smoking they have nothing to look forward to ,so why not catch cancer. Most survivors just try to get back to normal, but some how the cult will not let them forget.
?The Leftovers? has an intriguing premise that is intelligently and well presented. There are a lot of series with fantasy theme here those days and I think that is where we are going . But is France going to follow the trend most of the time it does not happen. Well will see. there is something that is unexplained in this series but maybe by second season we?ll know more. well do not miss this one.",The Leftovers,https://www.imdb.com/title/tt2699128/,tvSeries,8.3,60,2014,"Drama, Fantasy, Mystery",63921,2014-06-29,
25,tt4863504,2018-01-22,2018-01-23,"The story is set in Berlin in the year 1956 and tells us about a dance teacher and her 3 daughters. And yes there is a little bit of everything here in this dysfunctional family. Homosexuality, happy and unhappy relationship, motherhood, a father that disappear after the war, an underground dancing contest.
From the beginning it never lets up. This series is flying with a strict cold-hearted mother that wants here daughters married to wealthy men. She will stop at nothing plus she has a dancing studio where she is stuck in old fashion mode and does not want to teach Rock-N-Roll dancing. Here is a lesson in modernisation if I ever saw one. The wall is not up yet but you begin to see that Germany is separated in two east and west. It is the whole question of the modernity with the rapid transformations of a society that are imposed on to Caterina Schöllack, a  mother with authority , who alone raises her three daughters to be ready for marriage. And yes there will be one who will rebel against her mother the youngest one Monika. It is the time of Elvis Presley and of James Dean here plus a lot of Rock-n-Roll came out and a lot of modern invention as well. Thing are moving fast in Berlin where the war is forgotten. The series explore the modern world that is going to emerge, with a family who has their own problems in the middle of it of which the mother is going to have trouble adjusting to it. A terrific series here from Germany that is worth looking at.",Ku'damm 56,https://www.imdb.com/title/tt4863504/,tvMiniSeries,7.5,100,2016,Drama,1135,2016-03-20,
26,tt2980696,2018-01-22,2018-01-23,"Cinemax here has done it again ""Quarry? is torrid  pulp storytelling and sweaty  with original flavour, and yes it is fun as hell.
Quarry is the nickname of the story?s antihero, who just returned from Vietnam  named Mac Conway (Logan Marshall-Green) who was implicated in a My Lai-like massacre. Spit on by protesters at the Memphis airport, rejected by his father and unable to find a job, he somehow  finds himself working as a hit man for a mysterious boss called the Broker (Peter Mullan). The series is based on a series of novels by Max Allan Collins. The director Greg Yaitanes?s artfully composed Southern landscapes to go with the violence and his characters. The series gets just a little while to get started and then let the sex, gunfight, fist fight, couples fighting and bullet flying begin. The series fits the bill with PTSD-themed, post-Vietnam crime dramas and does it works here. It is well written as well as the costume with the cars and the scenery are as near perfect as it can be. And yes there is an explosive ending where you are going to say what the f?k! awesome. Is there an other season I do not know if there is please let me know.",Quarry,https://www.imdb.com/title/tt2980696/,tvSeries,8.2,60,2016,"Crime, Drama, Thriller",9822,2016-09-09,
